key,text,location,screen,context,type,variables,notes
"public.landing.conditions.1.lines.1","בשבוע הממוקד של האזור שבו נמצא העסק שלכם.","src/app/[slug]/page.tsx:33","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.conditions.2.lines.0","התחייבות לקיום כל האישורים, הרשיונות","src/app/[slug]/page.tsx:34","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.conditions.2.lines.1","והביטוחים בהתאם לחוק.","src/app/[slug]/page.tsx:34","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.benefits.0.lines.0","מילוי תפוסות, הגדלת מחזורי מכירות","src/app/[slug]/page.tsx:38","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.benefits.0.lines.1","ובניית קהל לקוחות נאמן לתקופת החורף.","src/app/[slug]/page.tsx:38","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","glossary term — keep consistent: לקוחות; Tourism 2026 self-service campaign"
"public.landing.benefits.1.lines.0","חיבור מקומי וחיזוק","src/app/[slug]/page.tsx:39","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.benefits.1.lines.1","לתיירות הפנים.","src/app/[slug]/page.tsx:39","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.benefits.2.lines.0","חשיפה ארצית באתר האירוע הרשמי, תוך קידום","src/app/[slug]/page.tsx:40","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.benefits.2.lines.1","ממומן של משרד התיירות והגעה למאות אלפי גולשים","src/app/[slug]/page.tsx:40","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.landing.aria_1","קול קורא לעסקי תיירות להצטרף לחודש התיירות הישראלית!","src/app/[slug]/page.tsx:85","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט חלופי לתמונה (alt)","aria","","Tourism 2026 self-service campaign"
"public.landing.aria_2","תנאי הסף להשתתפות","src/app/[slug]/page.tsx:97","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט חלופי לתמונה (alt)","aria","","Tourism 2026 self-service campaign"
"public.landing.public_page_1","כדי להצטרף למיזם ולהופיע באתר הרשמי, על העסק לעמוד בתנאים הבאים:","src/app/[slug]/page.tsx:99","עמוד ציבורי: נחיתה — קול קורא חודש התיירות 2026","טקסט בעמוד הציבורי","public_page","","Tourism 2026 self-service campaign"
"public.sign.heading_1","המשך חתימה — חודש התיירות הישראלית 2026","src/app/[slug]/sign/[token]/page.tsx:17","עמוד ציבורי: חתימה על ההסכם","כותרת החלון / הדפדפן (metadata)","heading","","Tourism 2026 self-service campaign"
"public.sign.heading_2","המשך חתימה","src/app/[slug]/sign/[token]/page.tsx:73","עמוד ציבורי: חתימה על ההסכם","כותרת","heading","","Tourism 2026 self-service campaign"
"public.sign.heading_3","תוקף הקישור הסתיים","src/app/[slug]/sign/[token]/page.tsx:93","עמוד ציבורי: חתימה על ההסכם","כותרת","heading","","same text also at: src/app/[slug]/thanks/[token]/page.tsx:83; Tourism 2026 self-service campaign"
"public.sign.public_page_1","ניתן לפנות לצוות הפרויקט לקבלת קישור חדש: tour@xtra.co.il","src/app/[slug]/sign/[token]/page.tsx:94","עמוד ציבורי: חתימה על ההסכם","טקסט בעמוד הציבורי","public_page","","contains a support email address — verify it is current; same text also at: src/app/[slug]/thanks/[token]/page.tsx:84; Tourism 2026 self-service campaign"
"public.thanks.heading_1","ההצטרפות הושלמה — חודש התיירות הישראלית 2026","src/app/[slug]/thanks/[token]/page.tsx:16","עמוד ציבורי: תודה (אחרי חתימה)","כותרת החלון / הדפדפן (metadata)","heading","","Tourism 2026 self-service campaign"
"public.thanks.heading_2","ההצטרפות הושלמה","src/app/[slug]/thanks/[token]/page.tsx:61","עמוד ציבורי: תודה (אחרי חתימה)","כותרת","heading","","same text also at: src/app/[slug]/thanks/[token]/page.tsx:80; Tourism 2026 self-service campaign"
"public.thanks.public_page_1","{signerName}, תודה שהצטרפתם ל{projectName}. ההסכם נחתם ונשמר.","src/app/[slug]/ThanksView.tsx:67","עמוד ציבורי: תודה (אחרי חתימה)","טקסט בעמוד הציבורי","public_page","{signerName} | {projectName}","glossary term — keep consistent: הסכמים; placeholders must stay exactly as written; Tourism 2026 self-service campaign"
"public.thanks.public_page_2","קישור להורדת ההסכם החתום נשלח גם לכתובת ${email}.","src/app/[slug]/ThanksView.tsx:77","עמוד ציבורי: תודה (אחרי חתימה)","טקסט בעמוד הציבורי (אחת מגרסאות טקסט מותנות)","public_page","${email}","glossary term — keep consistent: הסכמים; placeholders must stay exactly as written; Tourism 2026 self-service campaign"
"public.thanks.public_page_3","שמרו את ההודעה שקיבלתם בנייד — הקישור שבה מוביל לעמוד הזה.","src/app/[slug]/ThanksView.tsx:78","עמוד ציבורי: תודה (אחרי חתימה)","טקסט בעמוד הציבורי (אחת מגרסאות טקסט מותנות)","public_page","","Tourism 2026 self-service campaign"
"agreements.list.button_4","הבא","src/app/agreements/page.tsx:103","הסכמים (רשימה)","קישור-פעולה","button","",""
"agreements.list.button_1","שלח מסמך לחתימה","src/app/agreements/page.tsx:59","הסכמים (רשימה)","קישור-פעולה","button","","same text also at: src/app/agreements/page.tsx:82, src/app/companies/[id]/page.tsx:124, src/app/companies/[id]/page.tsx:181 (+3 more)"
"agreements.list.empty_state_1","לא נמצאו הסכמים מתאימים","src/app/agreements/page.tsx:71","הסכמים (רשימה)","מצב ריק — מוצג כשאין נתונים להצגה","empty_state","","glossary term — keep consistent: הסכמים"
"agreements.list.other_1","נסו מונח אחר, או הסירו את הסינון.","src/app/agreements/page.tsx:72","הסכמים (רשימה)","פסקת הסבר במסך","other","",""
"agreements.list.button_2","ניקוי הסינון","src/app/agreements/page.tsx:74","הסכמים (רשימה)","קישור-פעולה","button","",""
"agreements.list.empty_state_2","עדיין אין הסכמים","src/app/agreements/page.tsx:79","הסכמים (רשימה)","מצב ריק — מוצג כשאין נתונים להצגה","empty_state","","glossary term — keep consistent: הסכמים"
"agreements.list.empty_state_3","כל מסמך שנשלח לחתימה יופיע כאן — עם החברה שאליה הוא שייך, מי החותם ומה הסטטוס.","src/app/agreements/page.tsx:80","הסכמים (רשימה)","מצב ריק — מוצג כשאין נתונים להצגה","empty_state","",""
"agreements.list.aria_1","עמודים","src/app/agreements/page.tsx:91","הסכמים (רשימה)","תיאור נגישות לקורא מסך (aria) — לא נראה על המסך","aria","","same text also at: src/components/canvas/CanvasEditor.tsx:364"
"agreements.list.other_2","{(result.page - 1) * pageSize + 1}–{Math.min(result.page * pageSize, total)} מתוך {total}","src/app/agreements/page.tsx:93","הסכמים (רשימה)","פסקת הסבר במסך","other","{(result.page - 1) * pageSize + 1} | {Math.min(result.page * pageSize, total)} | {total}","placeholders must stay exactly as written"
"agreements.list.button_3","הקודם","src/app/agreements/page.tsx:98","הסכמים (רשימה)","קישור-פעולה","button","","same text also at: src/components/signer/SignerDocument.tsx:192"
"ai.chat.error_1","בקשה לא תקינה.","src/app/api/ai/approve/route.ts:31","XTRA AI (עוזר צ׳אט)","הודעת שגיאה שמוחזרת מהשרת ומוצגת למשתמש","error","","same text also at: src/app/api/auth/login/route.ts:49, src/app/api/documents/upload/route.ts:95, src/app/api/sign/[token]/otp/route.ts:51"
"ai.chat.error_2","הפעולה אינה זמינה.","src/app/api/ai/approve/route.ts:46","XTRA AI (עוזר צ׳אט)","הודעת שגיאה שמוחזרת מהשרת ומוצגת למשתמש","error","",""
"ai.chat.error_3","הפעולה לא הושלמה. אפשר לנסות שוב.","src/app/api/ai/approve/route.ts:67","XTRA AI (עוזר צ׳אט)","הודעת שגיאה שמוחזרת מהשרת ומוצגת למשתמש","error","",""
"ai.chat.error_4","XTRA AI אינו זמין כרגע. שאר המערכת ממשיכה לפעול כרגיל.","src/app/api/ai/chat/route.ts:30","XTRA AI (עוזר צ׳אט)","הודעת שגיאה שמוחזרת מהשרת ומוצגת למשתמש","error","","same text also at: src/server/ai/agent.ts:84"
"ai.chat.error_5","יותר מדי בקשות. נסו שוב בעוד רגע.","src/app/api/ai/chat/route.ts:39","XTRA AI (עוזר צ׳אט)","הודעת שגיאה שמוחזרת מהשרת ומוצגת למשתמש","error","",""
"ai.chat.error_6","אין מה לשלוח.","src/app/api/ai/chat/route.ts:52","XTRA AI (עוזר צ׳אט)","הודעת שגיאה שמוחזרת מהשרת ומוצגת למשתמש","error","",""
"ai.chat.error_7","משהו השתבש. נסו שוב.","src/app/api/ai/chat/route.ts:89","XTRA AI (עוזר צ׳אט)","הודעת שגיאה שמוחזרת מהשרת ומוצגת למשתמש","error","","same text also at: src/components/ai/XtraAi.tsx:241"
"ai.chat.error_8","חסר שם.","src/app/api/ai/conversations/[id]/route.ts:24","XTRA AI (עוזר צ׳אט)","הודעת שגיאה שמוחזרת מהשרת ומוצגת למשתמש","error","",""
"login.api.error_1","נתונים לא תקינים.","src/app/api/auth/login/route.ts:21","כניסה למערכת — הודעות שרת","הודעת שגיאה שמוחזרת מהשרת ומוצגת למשתמש","error","","same text also at: src/app/api/companies/[id]/crm-business/route.ts:48, src/app/api/companies/[id]/route.ts:14, src/app/api/companies/import/route.ts:62 (+32 more)"
